f[Hz],Uin[mV],Uout[mV],A_u,a_u[dB],phase [Â°]
50,120,4800,40,32.04119983,108
100,118,6400,54.23728814,34.68595933,134
200,112,7200,64.28571429,36.16228948,147
500,112,7400,66.07142857,36.40027394,160
1000,110,7400,67.27272727,36.55678069,164
2000,110,7400,67.27272727,36.55678069,166
5000,112,7400,66.07142857,36.40027394,170
10000,112,7400,66.07142857,36.40027394,178
20000,110,7200,65.45454545,36.31879623,187
50000,110,6200,56.36363636,35.01998009,208
100000,112,4800,42.85714286,32.64046429,225
,,,,,
